id,country_code,year,GDP (constant 2015 US$),gdp,GDP growth (annual %),inflation_rate,trade_balance,Trade in services (% of GDP)
614,SMR,2022,1730866817.58497,1831700577.08904,7.89844145767604,2.7646735234789,370.436071813414,94.9640040765801
615,SOM,2021,7976673824.29041,9483997404.25227,3.45822792939802,7.3886001174333,79.0932313826607,
616,SOM,2022,8194206836.48436,10202767269.9603,2.72711429582988,7.91416641125198,90.7598911643221,
617,SOM,2023,8539706089.18596,10968517090.0004,4.21638432609835,4.5724656131988,92.6861543505184,
618,SRB,2021,51022858874.9258,66159884072.5308,7.94905650472278,5.68404945078089,112.342298324945,25.3331037671062
619,SRB,2022,52365263375.3114,66797564758.339,2.63098644408841,10.5159219499465,131.93764235858,31.085059762047
620,SRB,2023,54380001764.6988,81342660752.3732,3.84747112784942,13.8402321392915,114.493948658228,30.7666780607323
621,SSA,2021,1867576739499.55,1933570427279.37,4.33003791419443,5.90670766327823,56.9191672940877,8.43993866429618
622,SSA,2022,1935794122169.01,2073339118621.98,3.65272179860958,8.66620854081535,60.5641545258739,9.3115568786119
623,SSA,2023,1989975181829.4,2042436971778.64,2.79890609439792,4.80427142532388,58.5923618825228,10.2019481462567
624,SSD,2021,,,,,,51.5105706815278
625,SSD,2022,,,,,,62.961470068126
626,SSD,2023,,,,,,63.02655083976
627,SSF,2021,1869264625978.87,1935057601074.18,4.3264986817543,5.63049185397639,57.0594720577623,8.54207421316498
628,SSF,2022,1937734800897.0,2075397087141.81,3.66294712725723,8.29018747603367,60.7044665440769,9.43883591115204
629,SSF,2023,1991977219275.31,2044578421949.78,2.79926945385927,4.73199714247384,58.731407794498,10.3670255862329
630,SST,2021,228990022558.652,258942107761.124,7.2026232150623,2.92731350035407,138.868364257311,59.7326383694003
631,SST,2022,247323900893.329,287505638394.077,8.00640924430741,5.71661624053541,154.880079998525,62.0992748519288
632,SST,2023,259198177241.786,305546743662.392,4.80110345404003,4.3740620157435,146.040359485083,67.2048666195373
633,STP,2021,317023957.753826,524402455.54816,1.89929891337832,5.16433588592962,,19.7573405317535
634,STP,2022,317558772.390522,540809499.189348,0.168698492216564,15.7806509935932,,23.9823713974294
635,STP,2023,318740893.733006,678976264.835436,0.372252775001456,21.6884761062027,,
636,SUR,2021,4309144555.20541,3107923197.96954,-2.43538583612838,62.0745334560841,,20.3951397345801
637,SUR,2022,4412832154.84564,3791603200.0259,2.40622235601218,49.4232837396802,,20.6549457496066
638,SUR,2023,4524898973.18059,3455146280.83975,2.53956675446825,32.2686064902092,,23.2906769115286
639,SVK,2021,102523269375.456,120592216208.386,5.72698854011892,2.24393114860719,181.857446230979,18.8772767678976
640,SVK,2022,102984289733.717,115928615553.286,0.449673875081572,7.48894730705902,203.850946665515,22.0369934933589
641,SVK,2023,104403760583.519,132908336234.295,1.37833727209444,10.1364912548588,182.314394044261,19.3409858443963
642,SVN,2021,51983646872.7637,61529280461.092,8.38965032094461,2.68996436135656,162.082728356416,28.2638542714711
643,SVN,2022,53386808992.5859,59927702746.2843,2.69923755687375,6.51715101546723,186.21959497631,32.8257472607549
644,SVN,2023,54514654364.7027,69148468417.3208,2.11259184318999,10.0501057520513,160.098444691588,31.6354747423608
645,SWE,2021,567227918052.988,637186904843.636,5.9375085730744,2.7406333444759,90.2779861793753,28.7452132687172
646,SWE,2022,575505409872.88,579895717343.956,1.45928850757269,5.78193714856063,105.855015275665,35.0931157442351
647,SWE,2023,573717486152.92,584960475767.32,-0.310670184725893,6.14906969650426,106.366026077394,37.2683135781637
648,SWZ,2021,4369384623.38277,4737671576.32851,3.39933858133693,0.167992453327443,,6.51723601747019
649,SWZ,2022,4366430077.90613,4695372785.0814,-0.0676192583464115,9.76589853061334,,8.1676689397609
650,SWZ,2023,4585402385.65415,4442875788.08505,5.01490471257054,1.62022800466512,,14.2782070735943
651,SXM,2021,1240255611.86927,1353071061.45251,4.57759677933345,4.64369866790126,,64.5931780515683
652,SXM,2022,1361800675.61738,1537088715.0838,9.80000111145777,3.46083611779808,,91.1167220092631
653,SXM,2023,1413549101.29084,1627776949.27374,3.8,2.02312138728323,,98.4965257366416
654,SYC,2021,1687886479.31967,1487173794.80528,0.552281631207279,2.75005993802337,183.77081501466,136.761915897699
655,SYC,2022,1940678727.9853,2057968519.83091,14.9768513322959,1.52239094163566,186.172111653646,130.633966466489
656,SYC,2023,2002037445.91069,2141450171.13932,3.16171435490999,-0.932509493159856,183.066894954317,132.753911522018
657,SYR,2021,15882796969.6273,14353205678.4991,1.85421590064124,118.274086326127,61.2204850955149,
658,SYR,2022,15999183136.0334,23622827079.5047,0.732781301861365,112.14365352308,35.6094680799956,
659,TCA,2021,874603454.301532,1045782453.5755,9.02549747146406,23.8242458240874,,
660,TCA,2022,928828863.968529,1228794382.95121,6.19999948551566,10.6403018542625,,
661,TCA,2023,939974780.106825,1402054390.94734,1.19999674543641,12.7470391990364,,
662,TCD,2021,10236539498.7594,11779981332.8631,-1.16918700397552,7.16657628897821,82.984776867047,
